ds,y
2026-01-04,1.615
2026-01-05,1.94
2026-01-06,2.016
2026-01-07,1.594
2026-01-08,1.256
2026-01-09,1.561
2026-01-10,1.669
2026-01-11,1.29
2026-01-12,1.464
2026-01-13,1.834
2026-01-14,1.961
2026-01-15,1.33
2026-01-16,1.73
2026-01-17,1.635
2026-01-18,1.751
2026-01-19,1.475
2026-01-20,1.833
2026-01-21,1.658
2026-01-22,1.751
2026-01-23,1.653
2026-01-24,1.767
2026-01-25,1.774
2026-01-26,1.672
2026-01-27,1.645
2026-01-28,1.923
2026-01-29,2.044
2026-01-30,1.875
2026-01-31,1.79
2026-02-01,2.12
2026-02-02,2.214
2026-02-03,1.84
2026-02-04,1.835
2026-02-05,1.257
2026-02-06,2.141
2026-02-07,1.897
2026-02-08,1.821
2026-02-09,2.147
2026-02-10,2.16
2026-02-11,2.168
2026-02-12,1.901
2026-02-13,1.865
2026-02-14,2.055
2026-02-15,2.145
2026-02-16,1.727
2026-02-17,2.427
2026-02-18,1.846
2026-02-19,2.092
2026-02-20,1.961
2026-02-21,2.217
2026-02-22,2.159
2026-02-23,2.23
2026-02-24,2.335
2026-02-25,2.037
2026-02-26,2.212
2026-02-27,2.142
2026-02-28,1.812
2026-03-01,2.158
2026-03-02,2.323
2026-03-03,2.291
2026-03-04,1.973
2026-03-05,2.395
2026-03-06,2.063
2026-03-07,2.073
2026-03-08,2.295
2026-03-09,2.15
2026-03-10,2.5
2026-03-11,2.263
2026-03-12,2.429
2026-03-13,2.231
2026-03-14,2.276
2026-03-15,2.348
2026-03-16,1.823
2026-03-17,2.137
2026-03-18,1.957
2026-03-19,1.969
2026-03-20,2.419
2026-03-21,2.437
2026-03-22,2.306
2026-03-23,2.215
2026-03-24,2.267
2026-03-25,2.589
2026-03-26,2.168
2026-03-27,2.366
2026-03-28,2.286
2026-03-29,2.819
2026-03-30,2.455
2026-03-31,2.262
2026-04-01,2.647
2026-04-02,2.268
2026-04-03,2.255
