ds,y
2026-01-04,28.127
2026-01-05,27.771
2026-01-06,27.203
2026-01-07,28.365
2026-01-08,28.842
2026-01-09,27.549
2026-01-10,27.928
2026-01-11,28.519
2026-01-12,28.344
2026-01-13,28.083
2026-01-14,28.68
2026-01-15,28.432
2026-01-16,27.91
2026-01-17,28.355
2026-01-18,29.282
2026-01-19,28.149
2026-01-20,29.238
2026-01-21,28.887
2026-01-22,29.37
2026-01-23,29.359
2026-01-24,28.41
2026-01-25,28.714
2026-01-26,28.676
2026-01-27,29.548
2026-01-28,28.494
2026-01-29,29.494
2026-01-30,29.798
2026-01-31,28.913
2026-02-01,28.89
2026-02-02,29.492
2026-02-03,29.584
2026-02-04,29.414
2026-02-05,29.152
2026-02-06,29.222
2026-02-07,29.943
2026-02-08,28.973
2026-02-09,29.355
2026-02-10,29.987
2026-02-11,29.918
2026-02-12,29.814
2026-02-13,29.172
2026-02-14,29.018
2026-02-15,29.288
2026-02-16,30.068
2026-02-17,29.394
2026-02-18,29.384
2026-02-19,29.1
2026-02-20,30.267
2026-02-21,29.712
2026-02-22,29.371
2026-02-23,29.777
2026-02-24,30.12
2026-02-25,30.262
2026-02-26,30.093
2026-02-27,29.64
2026-02-28,30.095
2026-03-01,30.654
2026-03-02,30.648
2026-03-03,30.534
2026-03-04,30.537
2026-03-05,29.735
2026-03-06,30.108
2026-03-07,31.22
2026-03-08,30.794
2026-03-09,31.857
2026-03-10,32.012
2026-03-11,32.921
2026-03-12,32.934
2026-03-13,32.03
2026-03-14,32.105
2026-03-15,32.453
2026-03-16,32.367
2026-03-17,32.318
2026-03-18,31.667
2026-03-19,31.885
2026-03-20,30.573
2026-03-21,30.347
2026-03-22,30.346
2026-03-23,30.76
2026-03-24,30.748
2026-03-25,30.65
2026-03-26,30.884
2026-03-27,30.099
2026-03-28,30.627
2026-03-29,29.864
2026-03-30,30.421
2026-03-31,31.108
2026-04-01,30.644
2026-04-02,31.125
2026-04-03,30.619
