ds,y
2026-01-04,5.487
2026-01-05,4.516
2026-01-06,4.725
2026-01-07,5.759
2026-01-08,5.693
2026-01-09,4.652
2026-01-10,5.918
2026-01-11,6.19
2026-01-12,4.706
2026-01-13,5.503
2026-01-14,5.201
2026-01-15,6.156
2026-01-16,5.066
2026-01-17,5.453
2026-01-18,6.416
2026-01-19,5.119
2026-01-20,5.429
2026-01-21,5.044
2026-01-22,5.935
2026-01-23,5.922
2026-01-24,4.659
2026-01-25,4.192
2026-01-26,5.239
2026-01-27,4.68
2026-01-28,4.804
2026-01-29,5.842
2026-01-30,6.969
2026-01-31,5.841
2026-02-01,8.144
2026-02-02,4.875
2026-02-03,7.195
2026-02-04,6.453
2026-02-05,4.906
2026-02-06,5.667
2026-02-07,5.332
2026-02-08,5.325
2026-02-09,6.436
2026-02-10,6.659
2026-02-11,6.239
2026-02-12,5.949
2026-02-13,6.685
2026-02-14,5.226
2026-02-15,5.757
2026-02-16,4.164
2026-02-17,7.0
2026-02-18,6.739
2026-02-19,5.899
2026-02-20,6.689
2026-02-21,5.573
2026-02-22,6.196
2026-02-23,5.558
2026-02-24,6.336
2026-02-25,5.824
2026-02-26,5.798
2026-02-27,6.784
2026-02-28,6.143
2026-03-01,7.658
2026-03-02,7.183
2026-03-03,5.978
2026-03-04,5.742
2026-03-05,5.364
2026-03-06,7.312
2026-03-07,6.095
2026-03-08,6.424
2026-03-09,6.383
2026-03-10,6.811
2026-03-11,5.201
2026-03-12,5.542
2026-03-13,5.62
2026-03-14,3.645
2026-03-15,4.459
2026-03-16,5.599
2026-03-17,4.755
2026-03-18,4.318
2026-03-19,5.297
2026-03-20,4.739
2026-03-21,4.993
2026-03-22,5.004
2026-03-23,7.862
2026-03-24,5.725
2026-03-25,6.522
2026-03-26,8.008
2026-03-27,6.457
2026-03-28,7.485
2026-03-29,6.325
2026-03-30,5.054
2026-03-31,6.259
2026-04-01,6.45
2026-04-02,7.847
2026-04-03,7.119
