ds,y
2026-01-04,1.826
2026-01-05,1.734
2026-01-06,1.94
2026-01-07,1.634
2026-01-08,1.885
2026-01-09,1.621
2026-01-10,1.49
2026-01-11,1.303
2026-01-12,1.549
2026-01-13,1.847
2026-01-14,2.022
2026-01-15,1.6
2026-01-16,1.937
2026-01-17,2.008
2026-01-18,1.302
2026-01-19,1.988
2026-01-20,1.835
2026-01-21,1.856
2026-01-22,1.707
2026-01-23,1.783
2026-01-24,1.735
2026-01-25,1.432
2026-01-26,2.222
2026-01-27,1.747
2026-01-28,1.72
2026-01-29,1.591
2026-01-30,1.659
2026-01-31,1.621
2026-02-01,2.092
2026-02-02,1.919
2026-02-03,1.882
2026-02-04,2.036
2026-02-05,2.075
2026-02-06,1.918
2026-02-07,1.912
2026-02-08,1.918
2026-02-09,2.097
2026-02-10,1.966
2026-02-11,1.969
2026-02-12,1.892
2026-02-13,2.184
2026-02-14,2.148
2026-02-15,1.885
2026-02-16,2.09
2026-02-17,1.765
2026-02-18,2.016
2026-02-19,1.876
2026-02-20,2.215
2026-02-21,1.93
2026-02-22,1.96
2026-02-23,2.58
2026-02-24,2.104
2026-02-25,2.24
2026-02-26,2.033
2026-02-27,2.244
2026-02-28,2.026
2026-03-01,2.252
2026-03-02,2.036
2026-03-03,2.113
2026-03-04,2.465
2026-03-05,1.976
2026-03-06,1.975
2026-03-07,1.818
2026-03-08,2.531
2026-03-09,2.229
2026-03-10,2.281
2026-03-11,2.049
2026-03-12,2.599
2026-03-13,2.275
2026-03-14,2.06
2026-03-15,2.076
2026-03-16,2.43
2026-03-17,2.714
2026-03-18,2.002
2026-03-19,2.125
2026-03-20,2.108
2026-03-21,2.218
2026-03-22,2.288
2026-03-23,2.39
2026-03-24,1.989
2026-03-25,2.154
2026-03-26,2.286
2026-03-27,2.052
2026-03-28,2.204
2026-03-29,2.2
2026-03-30,2.292
2026-03-31,2.252
2026-04-01,2.685
2026-04-02,2.397
2026-04-03,2.385
