ds,y
2026-01-04,28.092
2026-01-05,28.166
2026-01-06,27.792
2026-01-07,27.08
2026-01-08,28.092
2026-01-09,27.334
2026-01-10,28.535
2026-01-11,28.263
2026-01-12,28.654
2026-01-13,28.585
2026-01-14,28.758
2026-01-15,28.265
2026-01-16,27.804
2026-01-17,28.378
2026-01-18,29.115
2026-01-19,28.471
2026-01-20,28.858
2026-01-21,29.014
2026-01-22,28.93
2026-01-23,28.932
2026-01-24,28.753
2026-01-25,28.385
2026-01-26,28.589
2026-01-27,28.834
2026-01-28,28.545
2026-01-29,28.86
2026-01-30,28.905
2026-01-31,29.234
2026-02-01,29.333
2026-02-02,29.985
2026-02-03,30.176
2026-02-04,29.477
2026-02-05,29.192
2026-02-06,29.406
2026-02-07,28.46
2026-02-08,28.631
2026-02-09,29.272
2026-02-10,29.931
2026-02-11,29.271
2026-02-12,29.485
2026-02-13,29.88
2026-02-14,29.466
2026-02-15,29.065
2026-02-16,29.657
2026-02-17,29.986
2026-02-18,30.075
2026-02-19,29.22
2026-02-20,29.892
2026-02-21,30.094
2026-02-22,29.703
2026-02-23,29.693
2026-02-24,30.36
2026-02-25,30.191
2026-02-26,30.182
2026-02-27,30.565
2026-02-28,30.22
2026-03-01,29.81
2026-03-02,30.254
2026-03-03,31.064
2026-03-04,32.072
2026-03-05,32.169
2026-03-06,32.291
2026-03-07,31.651
2026-03-08,31.422
2026-03-09,31.324
2026-03-10,31.295
2026-03-11,30.154
2026-03-12,30.449
2026-03-13,30.305
2026-03-14,30.331
2026-03-15,30.286
2026-03-16,30.747
2026-03-17,30.488
2026-03-18,30.431
2026-03-19,30.772
2026-03-20,29.867
2026-03-21,30.24
2026-03-22,29.95
2026-03-23,30.454
2026-03-24,30.281
2026-03-25,30.411
2026-03-26,31.039
2026-03-27,29.75
2026-03-28,30.538
2026-03-29,30.469
2026-03-30,30.165
2026-03-31,30.545
2026-04-01,30.805
2026-04-02,30.242
2026-04-03,30.298
