ds,y
2026-01-04,5.595
2026-01-05,6.243
2026-01-06,4.486
2026-01-07,6.48
2026-01-08,3.356
2026-01-09,4.329
2026-01-10,4.347
2026-01-11,5.205
2026-01-12,5.202
2026-01-13,5.599
2026-01-14,5.182
2026-01-15,5.457
2026-01-16,4.728
2026-01-17,6.181
2026-01-18,6.172
2026-01-19,4.794
2026-01-20,5.436
2026-01-21,5.424
2026-01-22,5.477
2026-01-23,5.102
2026-01-24,4.653
2026-01-25,6.381
2026-01-26,5.688
2026-01-27,5.119
2026-01-28,5.307
2026-01-29,5.636
2026-01-30,5.948
2026-01-31,4.897
2026-02-01,5.455
2026-02-02,6.616
2026-02-03,5.06
2026-02-04,6.298
2026-02-05,4.639
2026-02-06,5.725
2026-02-07,6.219
2026-02-08,5.58
2026-02-09,6.105
2026-02-10,5.765
2026-02-11,5.695
2026-02-12,6.378
2026-02-13,7.432
2026-02-14,5.512
2026-02-15,6.712
2026-02-16,6.094
2026-02-17,6.547
2026-02-18,6.196
2026-02-19,6.192
2026-02-20,6.507
2026-02-21,5.499
2026-02-22,6.643
2026-02-23,4.567
2026-02-24,4.155
2026-02-25,7.508
2026-02-26,5.171
2026-02-27,5.697
2026-02-28,6.223
2026-03-01,6.803
2026-03-02,7.32
2026-03-03,6.734
2026-03-04,7.576
2026-03-05,5.12
2026-03-06,6.245
2026-03-07,8.08
2026-03-08,6.008
2026-03-09,4.589
2026-03-10,5.217
2026-03-11,5.823
2026-03-12,7.33
2026-03-13,7.514
2026-03-14,6.623
2026-03-15,6.726
2026-03-16,6.957
2026-03-17,6.312
2026-03-18,4.973
2026-03-19,6.395
2026-03-20,6.355
2026-03-21,6.119
2026-03-22,5.788
2026-03-23,7.714
2026-03-24,6.036
2026-03-25,7.18
2026-03-26,7.167
2026-03-27,5.821
2026-03-28,6.016
2026-03-29,6.305
2026-03-30,6.468
2026-03-31,6.297
2026-04-01,6.346
2026-04-02,6.622
2026-04-03,6.22
