ds,y
2026-01-04,1.541
2026-01-05,1.747
2026-01-06,1.113
2026-01-07,1.415
2026-01-08,1.754
2026-01-09,2.048
2026-01-10,1.474
2026-01-11,1.747
2026-01-12,1.18
2026-01-13,1.562
2026-01-14,1.557
2026-01-15,1.528
2026-01-16,1.639
2026-01-17,1.572
2026-01-18,1.873
2026-01-19,1.292
2026-01-20,2.064
2026-01-21,1.52
2026-01-22,2.105
2026-01-23,2.125
2026-01-24,2.25
2026-01-25,1.892
2026-01-26,1.75
2026-01-27,1.754
2026-01-28,2.041
2026-01-29,1.798
2026-01-30,1.801
2026-01-31,1.924
2026-02-01,1.462
2026-02-02,1.415
2026-02-03,1.983
2026-02-04,1.893
2026-02-05,2.028
2026-02-06,2.104
2026-02-07,1.779
2026-02-08,1.862
2026-02-09,2.129
2026-02-10,1.778
2026-02-11,2.114
2026-02-12,1.917
2026-02-13,1.862
2026-02-14,1.879
2026-02-15,2.028
2026-02-16,1.943
2026-02-17,1.876
2026-02-18,2.319
2026-02-19,2.216
2026-02-20,1.965
2026-02-21,2.178
2026-02-22,2.257
2026-02-23,2.077
2026-02-24,1.992
2026-02-25,1.878
2026-02-26,2.158
2026-02-27,2.016
2026-02-28,2.227
2026-03-01,2.076
2026-03-02,2.14
2026-03-03,2.448
2026-03-04,2.342
2026-03-05,2.364
2026-03-06,2.295
2026-03-07,2.282
2026-03-08,2.568
2026-03-09,2.374
2026-03-10,2.274
2026-03-11,2.292
2026-03-12,2.412
2026-03-13,2.271
2026-03-14,2.161
2026-03-15,2.615
2026-03-16,2.213
2026-03-17,2.392
2026-03-18,2.066
2026-03-19,2.326
2026-03-20,2.403
2026-03-21,2.309
2026-03-22,2.002
2026-03-23,2.321
2026-03-24,2.485
2026-03-25,2.414
2026-03-26,2.705
2026-03-27,3.995
2026-03-28,4.494
2026-03-29,5.482
2026-03-30,5.716
2026-03-31,5.351
2026-04-01,4.988
2026-04-02,4.585
2026-04-03,4.754
