ds,y
2026-01-04,28.208
2026-01-05,27.536
2026-01-06,28.182
2026-01-07,27.807
2026-01-08,28.179
2026-01-09,28.373
2026-01-10,28.769
2026-01-11,28.564
2026-01-12,28.161
2026-01-13,28.972
2026-01-14,28.261
2026-01-15,29.057
2026-01-16,28.599
2026-01-17,28.758
2026-01-18,28.986
2026-01-19,28.496
2026-01-20,28.365
2026-01-21,28.628
2026-01-22,28.423
2026-01-23,28.104
2026-01-24,29.167
2026-01-25,29.38
2026-01-26,29.149
2026-01-27,28.747
2026-01-28,28.81
2026-01-29,29.571
2026-01-30,29.66
2026-01-31,29.141
2026-02-01,29.81
2026-02-02,29.05
2026-02-03,29.225
2026-02-04,28.941
2026-02-05,28.686
2026-02-06,29.184
2026-02-07,29.138
2026-02-08,29.39
2026-02-09,29.913
2026-02-10,29.484
2026-02-11,29.799
2026-02-12,29.441
2026-02-13,29.844
2026-02-14,30.067
2026-02-15,29.78
2026-02-16,30.392
2026-02-17,30.091
2026-02-18,29.723
2026-02-19,29.981
2026-02-20,28.899
2026-02-21,29.571
2026-02-22,30.567
2026-02-23,30.366
2026-02-24,30.615
2026-02-25,30.287
2026-02-26,29.94
2026-02-27,30.08
2026-02-28,30.072
2026-03-01,29.924
2026-03-02,30.359
2026-03-03,29.954
2026-03-04,30.188
2026-03-05,30.407
2026-03-06,29.821
2026-03-07,29.858
2026-03-08,30.618
2026-03-09,29.781
2026-03-10,30.026
2026-03-11,30.565
2026-03-12,30.242
2026-03-13,30.083
2026-03-14,29.651
2026-03-15,30.797
2026-03-16,30.304
2026-03-17,30.358
2026-03-18,30.518
2026-03-19,30.986
2026-03-20,30.48
2026-03-21,30.276
2026-03-22,30.548
2026-03-23,30.954
2026-03-24,30.029
2026-03-25,30.376
2026-03-26,29.923
2026-03-27,30.501
2026-03-28,31.139
2026-03-29,30.173
2026-03-30,30.496
2026-03-31,30.698
2026-04-01,30.661
2026-04-02,31.014
2026-04-03,30.323
