ds,y
2026-01-04,5.88
2026-01-05,3.44
2026-01-06,4.131
2026-01-07,6.832
2026-01-08,3.582
2026-01-09,4.782
2026-01-10,4.246
2026-01-11,4.354
2026-01-12,3.308
2026-01-13,5.794
2026-01-14,5.565
2026-01-15,6.683
2026-01-16,4.352
2026-01-17,5.569
2026-01-18,5.397
2026-01-19,5.246
2026-01-20,5.004
2026-01-21,4.338
2026-01-22,5.375
2026-01-23,5.173
2026-01-24,5.141
2026-01-25,4.443
2026-01-26,5.237
2026-01-27,6.054
2026-01-28,4.5
2026-01-29,6.035
2026-01-30,5.216
2026-01-31,5.28
2026-02-01,5.956
2026-02-02,6.309
2026-02-03,5.637
2026-02-04,5.736
2026-02-05,4.705
2026-02-06,4.986
2026-02-07,4.328
2026-02-08,4.763
2026-02-09,7.357
2026-02-10,7.256
2026-02-11,4.816
2026-02-12,6.473
2026-02-13,5.653
2026-02-14,5.539
2026-02-15,6.768
2026-02-16,6.625
2026-02-17,5.29
2026-02-18,6.118
2026-02-19,6.172
2026-02-20,7.172
2026-02-21,5.252
2026-02-22,7.108
2026-02-23,5.858
2026-02-24,5.975
2026-02-25,6.476
2026-02-26,8.11
2026-02-27,7.168
2026-02-28,6.12
2026-03-01,7.177
2026-03-02,6.082
2026-03-03,5.671
2026-03-04,4.789
2026-03-05,6.939
2026-03-06,5.276
2026-03-07,7.622
2026-03-08,7.107
2026-03-09,6.44
2026-03-10,6.564
2026-03-11,5.813
2026-03-12,6.132
2026-03-13,4.844
2026-03-14,6.171
2026-03-15,4.864
2026-03-16,6.928
2026-03-17,6.354
2026-03-18,5.774
2026-03-19,6.384
2026-03-20,7.328
2026-03-21,5.868
2026-03-22,6.596
2026-03-23,5.961
2026-03-24,6.516
2026-03-25,6.489
2026-03-26,7.848
2026-03-27,6.14
2026-03-28,7.38
2026-03-29,5.497
2026-03-30,6.568
2026-03-31,5.252
2026-04-01,4.063
2026-04-02,6.157
2026-04-03,6.067
